epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5189.75,0.77876,0.73159,0.97732,0.50867,0.55509,0.51576,0.34839,1.1011,1.7725,1.20279,0.000321875,0.000321875,0.000321875
77,5258.07,0.77283,0.72612,0.97665,0.51683,0.55628,0.51511,0.34958,1.10817,1.95569,1.21105,0.0003095,0.0003095,0.0003095
78,5326.07,0.75891,0.68661,0.96667,0.54245,0.49844,0.51037,0.34943,1.10945,1.83864,1.21812,0.000297125,0.000297125,0.000297125
79,5394.26,0.75529,0.7259,0.96087,0.52002,0.55471,0.51983,0.34459,1.11794,1.8392,1.21332,0.00028475,0.00028475,0.00028475
80,5462.52,0.75605,0.69839,0.96279,0.53763,0.55245,0.50961,0.33637,1.10577,1.75253,1.2103,0.000272375,0.000272375,0.000272375
81,5530.68,0.76264,0.6924,0.95536,0.52193,0.51029,0.49045,0.32121,1.09877,1.86467,1.20936,0.00026,0.00026,0.00026
82,5598.84,0.73409,0.69189,0.96494,0.5547,0.51319,0.49834,0.33047,1.10953,1.95846,1.2207,0.000247625,0.000247625,0.000247625
83,5667.07,0.74073,0.66482,0.96658,0.54679,0.53512,0.51063,0.34446,1.09965,2.04714,1.20662,0.00023525,0.00023525,0.00023525
84,5735.16,0.71862,0.72334,0.94902,0.58414,0.48604,0.51293,0.34383,1.10867,1.99495,1.21765,0.000222875,0.000222875,0.000222875
85,5803.08,0.73065,0.6311,0.95983,0.58192,0.49073,0.50458,0.3383,1.11662,2.00629,1.23066,0.0002105,0.0002105,0.0002105
86,5871.09,0.71167,0.60184,0.952,0.5457,0.53111,0.50024,0.33905,1.10173,1.9847,1.22076,0.000198125,0.000198125,0.000198125
87,5939.2,0.70203,0.62046,0.94007,0.63057,0.50662,0.50345,0.33571,1.12676,2.06317,1.24254,0.00018575,0.00018575,0.00018575
88,6007.43,0.70422,0.60268,0.94857,0.55875,0.52768,0.50771,0.34441,1.10666,2.25878,1.22915,0.000173375,0.000173375,0.000173375
89,6075.58,0.69228,0.57675,0.93886,0.55635,0.51264,0.50609,0.34246,1.10786,2.1281,1.22892,0.000161,0.000161,0.000161
90,6143.5,0.69471,0.56743,0.94281,0.54417,0.52544,0.50789,0.34313,1.09381,2.20608,1.22097,0.000148625,0.000148625,0.000148625
91,6210.47,0.64998,0.50163,0.93067,0.54111,0.5419,0.49956,0.33691,1.09847,2.03482,1.23257,0.00013625,0.00013625,0.00013625
92,6277.27,0.62984,0.4693,0.92381,0.5912,0.53107,0.49132,0.32406,1.10597,2.1167,1.2308,0.000123875,0.000123875,0.000123875
93,6344.19,0.61515,0.42619,0.92263,0.53686,0.52486,0.49278,0.32913,1.11897,2.23094,1.23785,0.0001115,0.0001115,0.0001115
94,6411.05,0.63143,0.43882,0.91959,0.52042,0.54001,0.49386,0.32981,1.11234,2.29946,1.23744,9.9125e-05,9.9125e-05,9.9125e-05
95,6478.01,0.62342,0.43878,0.9149,0.56155,0.50252,0.48223,0.32096,1.12837,2.34681,1.24914,8.675e-05,8.675e-05,8.675e-05
96,6544.62,0.59769,0.40146,0.9055,0.57554,0.51553,0.48583,0.32458,1.11939,2.26937,1.24055,7.4375e-05,7.4375e-05,7.4375e-05
97,6611.3,0.59447,0.40873,0.90412,0.5522,0.51275,0.47796,0.31633,1.1285,2.45151,1.24597,6.2e-05,6.2e-05,6.2e-05
98,6678.29,0.59554,0.40547,0.9059,0.56572,0.51158,0.47529,0.31585,1.12366,2.36529,1.24579,4.9625e-05,4.9625e-05,4.9625e-05
99,6745.41,0.57913,0.39572,0.88401,0.56242,0.52818,0.49217,0.33116,1.11627,2.40692,1.24745,3.725e-05,3.725e-05,3.725e-05
100,6812.14,0.58213,0.38038,0.89568,0.6057,0.47353,0.47738,0.31886,1.12118,2.4685,1.24657,2.4875e-05,2.4875e-05,2.4875e-05
